symptoms,disease
"""panting lethargy loss of appetite wheezing watery eyes""",Ear Infection
"""bloody stool increased thirst itching panting anemia drooling vomiting""",Pancreatitis
"""aggression itching watery eyes nasal discharge drooling hair loss difficulty moving""",Giardiasis
"""dehydration bloody stool difficulty moving hair loss sneezing""",Upper Respiratory Infection
"""increased thirst nasal discharge bloody stool aggression weakness difficulty moving""",Kennel Cough
"""anemia hair loss head tilt drooling difficulty moving""",Liver Disease
"""muscle twitching depression joint pain head tilt loss of appetite nasal discharge""",Upper Respiratory Infection
"""coughing vomiting anemia increased thirst redness""",Kennel Cough
"""weight loss redness diarrhea watery eyes loss of appetite joint pain""",Gastroenteritis
"""fever hair loss redness seizures lethargy loss of appetite""",Heartworm
"""nasal discharge head tilt depression urination itching weakness""",Ringworm
"""increased thirst scratching muscle twitching drooling bloody stool head tilt""",Anemia
"""scratching fever wheezing weakness urination muscle twitching""",Malnutrition
"""depression joint pain nasal discharge itching""",Upper Respiratory Infection
"""increased thirst depression vomiting difficulty moving nasal discharge joint pain""",Malnutrition
"""aggression head tilt increased thirst vomiting""",Chronic Kidney Disease
"""difficulty moving wheezing increased thirst head tilt weight loss aggression loss of appetite""",Feline AIDS
"""vomiting urination sneezing nasal discharge aggression""",Kennel Cough
"""coughing bloody stool nasal discharge difficulty moving""",Skin Allergy
"""aggression head tilt dehydration loss of appetite coughing panting""",Diabetes
"""head tilt watery eyes wheezing weight loss dehydration depression urination""",Liver Disease
"""watery eyes weight loss loss of appetite aggression drooling nasal discharge muscle twitching""",Malnutrition
"""aggression nasal discharge urination itching drooling fever""",Heat Stroke
"""bloody stool seizures diarrhea panting weight loss""",Hypothyroidism
"""muscle twitching head tilt depression vomiting scratching weight loss""",Leptospirosis
"""urination difficulty moving scratching bloody stool vomiting""",Lymphoma
"""drooling anemia depression nasal discharge redness""",Leptospirosis
"""watery eyes seizures urination fever scratching anemia""",Leptospirosis
"""increased thirst head tilt nasal discharge diarrhea joint pain redness""",Leptospirosis
"""vomiting seizures hair loss watery eyes""",Parvovirus
"""hair loss difficulty moving sneezing diarrhea seizures coughing""",Parvovirus
