disease,description,common_causes,home_care,vet_visit
aggression sneezing muscle twitching nasal discharge wheezing difficulty moving weight loss,Genetic or age-related degenerative disorder.,"Lack of hygiene, external parasites, allergens.",Limit outdoor exposure and provide rest.,Vet visit necessary for persistent itching or hair loss.
urination sneezing increased thirst hair loss weight loss anemia,Parasitic infection found in outdoor animals.,"Lack of hygiene, external parasites, allergens.","Monitor temperature and behavior, clean ears and eyes regularly.",Emergency care needed for seizures or extreme lethargy.
panting hair loss watery eyes diarrhea muscle twitching,A chronic illness leading to long-term complications.,"Poor grooming, environmental irritants, stress.",Clean wounds and apply pet-safe antiseptic.,"Visit if discharge, swelling, or odor is noted."
urination loss of appetite increased thirst itching dehydration watery eyes,Parasitic infection found in outdoor animals.,"Obesity, old age, or sudden dietary changes.",Offer high-protein meals and encourage fluid intake.,Vet visit necessary for persistent itching or hair loss.
dehydration weakness itching seizures weight loss panting,Common bacterial infection requiring timely treatment.,Viral and bacterial exposure at shelters or parks.,Limit outdoor exposure and provide rest.,"Visit if discharge, swelling, or odor is noted."
dehydration bloody stool aggression difficulty moving,A condition affecting the pet's immune system.,"Lack of hygiene, external parasites, allergens.",Keep the pet calm and offer soft food.,Seek vet help immediately for bloody stool or vomiting.
diarrhea seizures scratching watery eyes,Parasitic infection found in outdoor animals.,Parasite infestations or underlying illnesses.,Clean wounds and apply pet-safe antiseptic.,Routine checkup advised for chronic signs.
difficulty moving head tilt weight loss weakness diarrhea dehydration coughing,Genetic or age-related degenerative disorder.,Malnutrition or long-term medication use.,"Regular grooming, change bedding often, and monitor stool.",Visit vet if symptoms persist beyond 2 days.
weight loss bloody stool head tilt panting,Parasitic infection found in outdoor animals.,"Poor grooming, environmental irritants, stress.","Monitor temperature and behavior, clean ears and eyes regularly.",Seek vet help immediately for bloody stool or vomiting.
bloody stool joint pain hair loss muscle twitching anemia itching,Common bacterial infection requiring timely treatment.,Malnutrition or long-term medication use.,"Monitor temperature and behavior, clean ears and eyes regularly.",Vet visit necessary for persistent itching or hair loss.
head tilt nasal discharge anemia lethargy fever seizures,Respiratory illness that affects breathing and energy levels.,Malnutrition or long-term medication use.,Brush regularly and use hypoallergenic products.,Seek vet help immediately for bloody stool or vomiting.
coughing bloody stool nasal discharge difficulty moving,A condition affecting the pet's immune system.,"Infected surfaces, other pets, or contaminated food.",Clean wounds and apply pet-safe antiseptic.,See vet if home remedies fail or new symptoms arise.
diarrhea fever dehydration lethargy,Viral infection spread through contact or air.,"Infected surfaces, other pets, or contaminated food.",Keep the pet calm and offer soft food.,Consult vet if appetite loss or fever appears.
hair loss diarrhea difficulty moving head tilt coughing lethargy,A condition affecting the pet's immune system.,"Infected surfaces, other pets, or contaminated food.","Avoid contact with other pets, sanitize food bowls.",Visit vet if symptoms persist beyond 2 days.
increased thirst wheezing panting dehydration,Common bacterial infection requiring timely treatment.,"Lack of hygiene, external parasites, allergens.",Limit outdoor exposure and provide rest.,Get diagnosis if weight loss continues despite eating.
Kennel Cough,Inflammatory condition of internal organs.,Malnutrition or long-term medication use.,"Avoid contact with other pets, sanitize food bowls.",Get diagnosis if weight loss continues despite eating.
anemia weakness dehydration depression difficulty moving head tilt,Common bacterial infection requiring timely treatment.,"Lack of hygiene, external parasites, allergens.","Monitor temperature and behavior, clean ears and eyes regularly.",Seek vet help immediately for bloody stool or vomiting.
